Telugu_sentence,English_sentence,source
_____(114) 10వ తరగతి నియంత్రణ - సమన్వయ వ్యవస్థ,_____(114) Class 10 Control – Coordination System,indic2012
పటం-17: స్వయంచోదిత నాడీవ్యవస్థ,Figure-17: Autonomic Nervous System,tides
కలిసి సహనుభూత నాడీవ్యవస్థ ఏర్పడుతుంది.,Together they form the sympathetic nervous system.,tides
మెదడులోని గాంగ్లియనులు మరియు వెన్చుపాము యొక్క చివరి భాగంనుండి ఏర్పడిన నాడులతో సహనుభూత పర నాడీవ్యవస్థ ఏర్పడుతుంది.,The sympathetic nervous system is made up of ganglia in the brain and nerves from the end of the spinal cord.,tides
ఈ రెండు నాడీవ్యవస్థలు కలిపి ఏర్పడేదే స్వయంచోదిత నాడీవ్యవస్థ.,The combination of these two nervous systems forms the autonomic nervous system.,tides
ఇది పరిధీయ నాడీవ్యవస్థలో భాగంగానే పరిగణిస్తారు.,It is considered part of the peripheral nervous system.,tides
మొక్కలలో నియంత్రణ మొక్కలు ఉద్దీపనలకు ఎలా ప్రతిస్పందిస్తాయి?,Control in plants How do plants respond to stimuli?,tides
ద ఇం మన శరీరంలో నియంత్రణ యంత్రాంగం ఎలా పనిచేస్తుందో తెలుసుకున్నాం కదా!,We have learned how the control mechanism works in our body!,indic2012
మొక్కలలో కూడా ఇటువంటి నియంత్రణ వ్యవస్థ ఉందా?,Do plants also have such a regulatory system?,indic2012
చిన్న కృత్యం ద్వారా తెలుసుకుందాం.,Let's find out with a little work.,tides
J రృత్యం-1 ll.,J Rrityam-1 ll.,tides
అత్తిపత్తి పత్రాలను ముట్టుకొని పత్రాలు ఎలా ప్రతిస్ప్రందిస్తాయో చూడండి.,Touch the fig leaves and see how the leaves react.,indic2012
మనం ముట్టుకున్నప్పుడు పత్రాలు ముడుచుకున్నాయా? ఏ దిశలో ముడుచుకున్నాయి?,Do the papers crumple when we touch them? In which direction are they bent?,indic2012
ఆంధ్రప్రదేశ్‌ ప్రభుత్వం వారిచే ఉచిత పంపిణీ 115) _,Free distribution by Govt of Andhra Pradesh 115) _,ted
పటం-18: అత్తిపత్తి,Figure-18: Fig,tides
(7?) మీకు తెలుసా?,(7?) Do you know?,tides
మైమోసాప్యూడికా పత్రవృతం అడుగు భాగంలో ఉబ్బెత్తుగానున్న మెత్తటి తల్పం వంటి నిర్మాణం ఉంటుంది. దీనిని HBV (Pulvine) అంటారు.,"Mimosapudica has a bulging, spongy tube-like structure at the base of the petiole. It is called HBV (Pulvine).",tides
వీటి కణాలలో ఎక్కువగా కణాంతర అవకాశాలు మరియు ఎక్కువ మొత్తంలో నీరు ఉంటుంది.,Their cells have more intracellular potential and more water.,ted
నీటి పీడనం వలన పల్యైని ఆకును నిలువుగా ఉంచుతుంది.,Water pressure keeps the palm leaf upright.,tides
అత్తిపత్తి మొక్క స్పర్శతోనాస్టిక్‌ చలనాన్ని (nastic movement) చూపిస్తుంది.,The fig plant shows nastic movement.,ted
దీనిని స్పర్శానువర్తనం (Thigmo trophism) అంటారు.,This is called Thigmo trophism.,indic2012
మనం ఆకులను ముట్టుకున్నప్పుడు విద్యుత్‌ ప్రచోదనాలు ఉత్పత్తి అవుతాయి.,"When we touch the leaves, electrical impulses are generated.",ted
ఈ ప్రచోదనాలు మొక్క హార్కోన్‌లపై ప్రభావాన్ని చూపుతాయి.,These impulses have an effect on plant horcones.,indic2012
ఈ హార్మోన్‌ల వలన పంకత్రంలోని ఈనెలకు దగ్గరగా ఉన్న ఉబ్బెత్తు పల్వినిలోని నీరు పత్రంలో వేరే భాగాలవైపు వలస వెళుతుంది.,"These hormones cause the water in the uvula palvini, which is close to the umbilicus, to migrate to other parts of the document.",tides
అందువలన SBR గట్టిదనాన్ని కోల్పోతుంది.,Thus SBR loses hardness.,tides
దానిఫలితంగా ఆకు ముడుచుకొని పోతుంది.,"As a result, the leaf becomes shriveled.",tides
20-30 నిమిషాల తరవాత పల్వైనిలోకి నీరు తిరిగి చేరడం వలన అది గట్టిపడి ఆకులు తిరిగి నిలువుగా మారతాయి.,After 20-30 minutes water re-enters the palvaini which hardens and the leaves become vertical again.,ted
ఆ ఉద్దీపనలకు ప్రతిస్పందనలను చూపే మొక్కల ఉదాహరణలు మరికొన్నింటిని రాయండి.,Write some more examples of plants showing responses to those stimuli.,tides
తీగలు కలిగిన మొక్కలు ఆధారాన్ని చుట్టుకుంటూ పెరుగుతాయి.,Vines grow around the base.,ted
అవి అలా ఎందుకు పెరుగుతాయి?,Why do they grow like that?,indic2012
వీటిని కూడా ఉద్దీపనలకు చూపే ప్రతిస్పందనలు అని చెప్పవచ్చా?,Can these also be called responses to stimuli?,ted
మొక్కలు మరియు జంతువులు రెండు కూడా తమ పరిసరాలలోని ఉద్దీపనలకు ప్రతిస్పందనలను చూపిస్తాయి.,Both plants and animals show responses to stimuli in their environment.,tides
కాని ఈ ప్రతిస్పందనల తీరు మొక్కలలో జంతువులలో వేరువేరుగా ఉంటాయి.,But the patterns of these responses differ from plants to animals.,indic2012
పెద్ద జంతువులలో నాడీ వ్యవస్థ మరియు అంతస్రావ వ్యవస్థ ఉండడం వలన అవి ఉద్దీపనలకు ప్రతిస్ప్రందిస్తాయి.,Large animals have a nervous system and an endocrine system that allows them to respond to stimuli.,indic2012
"కానీ మొక్కలలో నిర్దిష్టమైన అంత(స్రావ వ్యవస్థగాని, నాడీవ్యవస్థగాని లేదు.",But plants do not have a specific endocrine system or nervous system.,tides
మొక్కలలో హార్మోన్‌ల ద్వారా నియంత్రించే యాంత్రికం ఉంది.,Plants have a hormonal control mechanism.,ted
"మొక్కలు కాంతి, నీరు, ఉష్ణం, స్పర్శ, ఒత్తిడి, గురుత్వాకర్షణ, రసాయనాలు మొదలైన ఉద్దీపనలకు అనుగుణంగా ప్రతిస్పందిస్తాయి.","Plants respond to stimuli such as light, water, heat, touch, pressure, gravity, chemicals, etc.",ted
మొక్కలలోని హార్మోన్‌లను ఫైటో హార్మోన్లు (ఫైటో అంటే మొక్కలు అని అర్థం) అంటారు.,Hormones in plants are called phytohormones (phyto means plants).,ted
ఇవి పైన తెలిపిన ఉద్దీపనల ప్రతిస్పందనలను నియంత్రిస్తాయి.,These regulate the responses to the above stimuli.,ted
ఫైటో హార్మోన్‌లు మొక్కల పెరుగుదలకు సంబంధించిన ఏదో ఒక అంశాన్ని నియంత్రిస్తూ సమన్వయం చేస్తుంటాయి.,Phytohormones regulate and coordinate some aspect of plant growth.,tides
కాబట్టి వీటిని పెరుగుదలను నియంత్రించే పదార్థాలని కూడా అంటారు.,So they are also known as growth regulators.,ted
కింది పట్టికలో కొన్ని ముఖ్యమైన ఫైటో హార్మోన్లు ఇవ్వబడ్డాయి.,Some important phytohormones are listed in the following table.,ted
(116) 10వ తరగతి నియంత్రణ - సమన్వయ వ్యవస్థ,(116) Class 10 Control - Coordination System,tides
పట్టిక-3 : మొక్కలలో హార్మోనులు,Table-3 : Hormones in plants,tides
"అబ్‌సైసిక్‌  ఆమ్త్మం పత్రరంగ్రాలు మూసుకొనుట, విత్తనాల సుప్తావస్థ ఆక్సిన్స్‌ కణం పెరుగుదల మరియు కాండం, వేరు విభేదనం.","Abscisic disease causes closure of petals, seed dormancy, auxins cell growth and stem, differentiation.",ted
సైటోకైనిన్స్‌ కణవిభజనను (టేరేపించడం. పార్శ్వ కోరకాలు పెరుగుదలను (ప్రేరేపించడం.,Cytokinins stimulate cell division.,indic2012
ఆకులురాలకుండా చేయడం.,Defoliation.,tides
పత్రరం(ధ్రాలు తెరుచుకొనే విధంగా చేయడం.,Pataram (making the leaves open,tides
ఈథలీన్‌ ఫలాలు పక్వానికి రావడం.,Ethylene ripening of fruits.,ted
జిబ్బరెల్లిన్లు విత్తనాల అంకురోత్పత్తి.,Gibberellins seed germination.,indic2012
కోరకాలు మొలకెత్తడం.,Germination of desires.,ted
కాండం పొడవడం.,Stem elongation.,ted
పుప్పించడానికి ప్రేరేపించడం.,Stimulating to ferment.,tides
ఫలాల అభివృద్ధి.,Fruit development.,indic2012
కోరకాలు మరియు విత్తనాలలో సుప్తావస్థను తొలగించడం.,Removal of Dormancy in Desires and Seeds.,indic2012
విత్తనాలలో సుప్తావస్థను గురించి మీ ఉపాధ్యాయయునితో చర్చించండి CT gees Loo,Discuss dormancy in seeds with your teacher CT gees Loo,tides
గాజు జాడీని తీసుకొని మట్టితో నింపండి.,Take a glass jar and fill it with soil.,ted
జాడి గోడ అంచు వెంబడే ఉండేలా చిక్కుడు విత్తనాన్ని నాటండి.,Plant the legume seed along the edge of the jar wall.,ted
ఇలా చేయడం వల్ల విత్తనం మొలకెత్తడాన్ని కాండం మరియు వేరు పెరుగుదలను చూడవచ్చు.,By doing this you can see the germination of the seed and the growth of stem and root.,indic2012
4-5 రోజుల తరువాత విత్తనాలు మొలకెత్తడాన్ని మనం గమనిస్తాం.,After 4-5 days we observe germination of seeds.,indic2012
"జాడిని సూర్యరశ్శిలో పెట్టండి. కాండం, వేరు ఎలా పెరుగుతుందో పరిశీలించండి.",Place the jars in sunlight. Observe how the stem and root grow.,tides
మొక్కకు నాలుగైదు ఆకులు వచ్చిన తరువాత కుండీని అడ్డంగా పడుకోబెట్టినట్లుగా క్షితిజ సమాంతరంగా ఉంచండి.,"After the plant has four or five leaves, place the pot horizontally as if lying horizontally.",ted
వారం రోజులపాటు వేరు మరియు కాండం పెరుగుదలను పరిశీలించండి...,Observe root and stem growth for a week...,ted
ఆ కాండం వారం తరవాత సమాంతరంగానే పెరుగుతున్నదా?,Is the stem growing parallel week after week?,ted
ఆ కాండం యొక్క ఏ భాగం బాగా పెరిగింది? ఏ భాగంలో పెరుగుదల లేదు?,Which part of the stem grew best? Which part has no growth?,tides
ఈ Send తీసుకొనివచ్చింది ఏమిటని నీవు భావిస్తున్నావు?,What do you think this send brings?,ted
కాంతికి అభిముఖంగా మొక్క ఎదగడాన్ని గమనించండి.,Observe the growth of the plant facing the light.,ted
మొక్క పెరుగుదలకు కారణమైన ఆక్సిన్‌లు వంగిన కాండంపైన ఎటువంటి (ప్రభావాన్ని చూపుతున్నాయో కాంతి అనువర్తనాన్ని ప్రదర్శిస్తూ ఉద్దీపనకు ఎలా ప్రతిస్పందనలు చూపుతున్నాయో పరిశీలించండి.,"Observe how the auxins, responsible for plant growth, respond to the stimulus by demonstrating the application of light to see if any effect is exerted on the bent stem.",tides
కాంతి సోకే కాండ భాగంపైన ఎక్కువ ఆక్సిన్‌లు చేరడం వలన ఆ భాగంలో కణాలు వేగంగా పెరుగుతాయి.,"As more auxin accumulates on the part of the stem exposed to light, the cells in that part grow faster.",tides
దాని వ్యతిరేక భాగంలో కణాలు నెమ్మదిగా పెరగడం వలన కాండం వంగుతుంది.,The stem bends as the cells grow slowly on its opposite side.,indic2012
వంగిన మరియు నిలువుగా ఉన్న లేత కాండ భాగాన్ని సేకరించండి.,Collect the tender stem part which is bent and vertical.,tides
రెండు భాగాల అడ్డుకోతను సూక్ష్మదర్శినిలో పరిశీలించండి.,Examine the cross section of the two parts under a microscope.,ted
ఆ మీరు బాహ్యచర్మ కణాల ఆకారంలో ఏమైనా మార్పు గమనించారా?,Have you noticed any change in the shape of the epidermal cells?,indic2012
చార్లెస్‌ డార్విన్‌ మరియు అతని కొడుకు (FPR డార్విన్‌ కాంతి అనువర్తనం ఆంధ్రప్రదేశ్‌ ప్రభుత్వం వారిచే ఉచిత పంపిణీ (117) |,Charles Darwin and His Son (FPR Darwin Kanti App Free Distribution by Government of Andhra Pradesh (117) |,ted
పటం-19: కాంతివైపు వంగుట,Figure-19: Bending towards light,ted
(phototropism) కొన్ని ప్రయోగాలు చేశారు.,(phototropism) some experiments were done.,indic2012
మొక్కకాండం కొనభాగం ప్రాంకురకవచాన్ని (Colioptyle) స్థూపాకారంగానున్న ఇనుపరేకుతో మూసి ఉంచారు.,The coleoptile (colioptyle) of the stem is covered with a cylindrical bract.,tides
మొక్కకు (ప్రక్క నుండి కాంతి సోకే విధంగా సూర్యరశ్మిలో అమర్చారు.,The plant (placed in sunlight so that the light penetrates from the side.,ted
అప్పుడు అంకురంలో వంగడం అనే ప్రత్యేక లక్షణమేమీ కనబడలేదు.,Then no special characteristic of bending was observed in the bud.,ted
కానీ తరువాత స్థూపాకారపు ఇనుపరేకు గుండా ప్రసరింపచేసినప్పుడు మొక్క ఆ దిశలో వంగడం జరిగింది.,But then the plant bent in that direction when passed through the cylindrical iron.,tides
దీని ఆధారంగా అంకురంపైన PY) కాంతి సోకేలా చేసినప్పుడు “ఏదో ప్రభావం” పైనుండి కిందికి ప్రసరించడం వలన మొక్కలో వంపుకు కారణమవుతున్నదని వారు నిర్ధారించారు.,"Based on this they concluded that when light is incident on the seedling (PY) ""some effect"" radiating from the top downwards causes the plant to bend.",tides
1926లో యఫ్‌. డబ్బు. వెంట్‌ అనే డచ్‌ వృక్ష శరీర ధర్మ తి @ శాస్త్రవేత్త మొక్కలలో వంపుకు కారణమవుతున్న “ఏదో ప్రభావాన్ని” వేరుపరచడంలో సఫలీకృతులయ్యారు.,In 1926 Yff. money A Dutch plant physiologist named Vent has succeeded in isolating the “something effect” that causes bending in plants.,indic2012
ఓటు ధాన్యపు అంకురం యొక్క ప్రాంకురం కవచాన్ని కత్తిరించాడు.,Otu cuts the bract of the grain sprout.,tides
కాండం కొనపైన ord అగార్‌ ముక్కను పెట్టి గంటసేపు అలాగే ఉంచాడు.,A piece of ord agar was placed on the tip of the stem and kept there for an hour.,ted
తరువాత ord అగార్‌ను చిన్న చిన్న పెట్టెలుగా కత్తిరించాడు.,Then cut the agar agar into small squares.,indic2012
ప్రతి పెట్టె వంటి అగార్‌ని తొడుగు కత్తిరించిన మొక్క కాండంపైన ఒక వైపుకు ఉండేలా పెట్టాడు.,Each box-like agar sheath is placed on one side of the cut plant stem.,tides
తరువాత వాటిని చీకటిగదిలో ఉంచాడు.,Then he kept them in a dark room.,indic2012
గంట తరువాత ప్రాంకురంలో errs పెట్టిన భాగానికి రెండవ వైపున నిర్దిష్టమైన వంపు కనబడింది. పటం-18 పరిశీలించండి.,An hour later a distinct curve was seen on the second side of the portion that erred in the preliminaries. Look at Figure-18.,tides
,,indic2012
ప్రాంకుర కవచంతో సంబంధంలేని అగార్‌ కాండం కొనభాగం ఎటువంటి వంపును ప్రదర్శించలేదు.,The tip of the agar stem not in contact with the pronotum sheath did not exhibit any curvature.,tides
అగార్‌ ముక్క ఉంచిన భాగంవైపు కొద్దిగా వంపు కనబడింది.,The agar piece is slightly curved towards the side where it is placed.,ted
ఈ (ప్రయోగం ఆధారంగా వెంట్‌ ఊహించిందేమిటంటే ప్రాంకుర కవచం కొనభాగంలో మార్పు రసాయనిక ఉద్దీపన వలన జరిగిందని ఈ రసాయనిక ఉద్దీపనలకు ఆక్సిన్లు అని పేరు పెట్టాడు.,"On the basis of this experiment, Vent hypothesized that the change in the primordium layer was caused by chemical stimuli, and he named these chemical stimuli auxins.",indic2012
ఈవిధంగా వెంట్‌ ఆక్సిన్‌ అనే మొట్టమొదటి మొక్క హార్మోన్‌ను కనుగొనగలిగారు.,Thus the first plant hormone called vent auxin was discovered.,indic2012
పటం-20: వెంట్‌ ప్రయోగం,Figure-20: Vent experiment,tides
మొక్కలలో అనువర్తనాలు (Tropic and nastic movement in plant),Applications in plants (Tropic and nastic movement in plant),tides
పై ప్రయోగాల ఆధారంగా మనం గమనించిందేమిటంటే మొక్క భాగాలు బాహ్య ఉద్దీపనలకు లోనైనప్పుడు చలనాన్ని ప్రదర్శిస్తాయి.,Based on the above experiments we have observed that plant parts exhibit movement when exposed to external stimuli.,indic2012
ఇటువంటి చలనాలను అనువర్తన చలనాలు (Tropic movements) అంటారు.,Such movements are called Tropic movements.,ted
కొన్ని సందర్భాలలో ఉద్దీపనాల దిశ చలన దిశను నిర్దారిస్తుంది.,In some cases the direction of stimuli determines the direction of motion.,tides
మరికొన్ని సమయాలలో చలన దిశ ఉద్దీపనల దిశను నిర్దారించదు.,Other times the direction of motion does not determine the direction of stimuli.,tides
ఇటువంటి ప్రతిస్పందనలను ‘TRE చలనాలు” (nastic movement) అంటారు.,Such responses are called 'TRE movements' (nastic movement).,ted
కిటికీ దగ్గర పెరుగుతున్న త్రీగ మొక్కలో పెరుగుదలను గమనించండి.,Note the growth in the tree plant growing near the window.,ted
తీగలు కాండం కాంతి సోకుతున్న వైపుకు పెరుగుతుండడాన్ని మీరు గమనించవచ్చు.,You will notice that the vines tend to grow towards the side of the stem where the light is penetrating.,tides
ఇలా మొక్కలు కాంతికి అనుకూలంగా ప్రతిస్పందించడాన్ని “కాంతి అనువర్తనం” (photo tropism) అంటారు.,"This plant's favorable response to light is called ""photo tropism"".",ted
వేరు భూమివైపు పెరుగుతుందని మనకు తెలుసు.,We know that root grows towards the earth.,indic2012
అంటే మొక్కలు గురుత్వాకర్షణ బలంవైపుగా ప్రతిస్పందిస్తాయి. దీనిని “గురుత్వానువర్తనం” (860 (1001500) అంటారు.,This means that plants respond to the force of gravity. This is called “gravity” (860 (1001500).,tides
______(110) 10వ తరగతి నియంత్రణ - సమన్వయ వ్యవస్థ,______(110) Class 10 Control – Coordination System,tides
"రాళ్ళనుగాని, గోడలనుగాని అంటిపెట్టుకొని పెరిగే మొక్కలలో వేర్లు రాయి లేదా గోడవైపు నుండి దూరంగా నేలలో నీరు ఉన్న ప్రాంతంవైపు పెరుగుతుంటాయి.","In plants that cling to rocks or walls, the roots grow away from the rock or wall towards the area of water in the soil.",tides
ఇటువంటి ప్రతిస్పందనను “నీటి అనువర్తనం” (hydro tropism) అంటారు.,Such a response is called “hydro tropism”.,indic2012
నులి తీగలలో ఆసక్తికరమైన చలనాన్ని చూస్తాం.,We see an interesting movement in the hollow strings.,tides
చాలా మొక్కలు కాంతి అనువర్తనానికి అనుగుణంగా ప్రతిస్ప్రందిస్తాయి.,Most plants respond well to light application.,tides
"కానీ దోసకాయ, కాకరకాయ వంటి తీగలలో కాండం బలహీనంగా ఉండి సన్నగా ఉండడం చేత పైకి ఎగటబ్రాకదు.","But in vines like cucumber and kakarakaya, the stem is weak and thin and does not rise up.",indic2012
నులి తీగలు మొక్కను నిలువుగా పెరగడానికి దోహదం చేస్తాయి.,The tendrils help the plant to grow vertically.,ted
"MEE మొక్కలలో నులి తీగలు సన్నగా, పొడవుగా దారాల మాదిరిగా కాండంపైన ఉండే ఈ సన్నని నిర్మాణాలు ఏదైనా ఆధారంచైపు పెరిగి దాని చుట్టు పెనవేసుకుంటాయి.","In MEE plants, tendrils are thin, long thread-like structures on the stem that grow up and around any base.",tides
Sy) లేదా తాకడం వలన కలిగే ప్రతిస్పందనలను “స్పర్శానువర్తనం” (thigmo tropism) అంటారు.,Sy) or responses caused by touch are called “thigmo tropism”.,indic2012
పుష్పం యొక్క అండాశయ భాగాన్ని రుచిచూస్తే తీయగా ఉంటుంది.,The ovary part of the flower is sweet to taste.,indic2012
సీతాకోకచిలుక మకరందం కొరకు పుష్పం చుట్టు తిరగడాన్ని జ్ఞాపకం తెచ్చుకోండి. పక్వం చెందిన కీలాగ్రం తియ్యని పదార్థాన్ని (ప్రవిస్తుంది.,Remember the butterfly circling the flower for nectar. A ripe kilogram of sweet substance (produces,ted
ఈ రసాయన పదార్థం కీలాగ్రంపై పడిన పరాగరేణువులకు ఉద్దీపన కలుగజేస్తుంది.,This chemical acts as a stimulus to pollinators per kilogram.,indic2012
ఉద్దీపనలకు పరాగరేణువులు ప్రతిస్పందించి మొలకెత్తుతాయి.,Pollen reacts to stimuli and germinates.,ted
పరాగనాళం పరాగరేణువు నుంచి బయలుదేరి ఫలదీకరణం కొరకు అండాన్ని చేరుతుంది.,Pollen leaves the anther and reaches the ovule for fertilization.,ted
ఇటువంటి రసాయనిక పదార్థాల ప్రతిస్పందనలను “రసాయనికానువర్తనం” (chemotropism) అంటారు.,Such chemical responses are called “chemotropism”.,tides
తాః,Tah,ted
"ప్రచోదనం, ప్రతిస్పందన, నాడీకణం, తంత్రికాక్షం, నాడీసంధి, జ్ఞాననాడులు (అభివాహినాడులు), చాలక నాడులు (అపవాహినాడులు), అసోసియేషన్‌ నాడులు, కేంద్రనాడీవ్యవస్థ, మెదడు, వెన్నుపాము, మెనింజస్‌, మస్తిష్కమేరుద్రవం, పరిధీయ నాడీవ్యవస్థ, కపాల నాడులు, కశేరునాడులు, అంతఃస్రావ (గ్రంథులు, హార్మోనులు, పునఃశ్చరణ యంత్రాంగం, వృక్ష హార్మోనులు, TRE చలనాలు, అనువర్తన చలనాలు, గురుత్వావర్తనం, స్పర్శానువర్తనం, రసాయనికానువర్తనం.","Impulse, response, neuron, sacrum, synapse, sensory nerves (Afferent nerves), Chalaka nerves (Apahinal nerves), association nerves, central nervous system, brain, spinal cord, meninges, cerebrospinal fluid, peripheral nervous system, cranial nerves, spinal nerves, endocrine (glands, hormones, circulatory system) , plant hormones, TRE movements, applied movements, gravity, tactile, chemical adaptation.",tides
త్రి మనం ఏం నేర్చుకున్నాం?,What did we learn?,indic2012
ఆ మన శరీరంలోని వివిధ విధులను అంత ప్రావ్య వ్యవస్థ మరియు నాడీ వ్యవస్థ కలసి సమన్వయం చేస్తాయి మరియు నియంత్రిస్తాయి.,The nervous system and the nervous system coordinate and control the various functions of our body.,indic2012
అ నాడీ వ్యవస్థ ప్రతిస్పందనలను మూడు రకాలుగా విభజిస్తాయి.,A nervous system divides responses into three types.,tides
"ప్రతీకార ప్రతిచర్యలు, నియంత్రిత అనియంత్రిత చర్యలు.","Retaliatory reactions, controlled uncontrolled actions.",ted
ఆ మానవ నాడీ వ్యవస్థను రెండు విభాగాలుగా అధ్యయనం చేస్తాం.,We will study the human nervous system in two parts.,tides
"1) కేంద్రీయ నాడీ వ్యవస్థ, 2) పరిధీయ నాడీ వ్యవస్థ.","1) Central Nervous System, 2) Peripheral Nervous System.",tides
ఆ కేంద్రీయ నాడీ వ్యవస్థలో మానవ మెదడు మరియు వెన్చుపాము ఉంటాయి. పరిధీయ నాడీ వ్యవస్థలో రెండు రకాలు,The central nervous system consists of the human brain and spinal cord. There are two types of peripheral nervous system,tides
1) కపాల నాడీ వ్యవస్థ 2) కశేరు నాడీ వ్యవస్థ,1) Cranial nervous system 2) Vertebrate nervous system,tides
ఆంధ్రప్రదేశ్‌ ప్రభుత్వం వారిచే ఉచిత పంపిణీ (119) |,Free distribution by Govt of Andhra Pradesh (119) |,indic2012
* స్వయంచోదిత నాడీ వ్యవస్థలో రెండు రకాలు 1) సహానుభూత నాడీ వ్యవస్థ 2) సహానుభూత పరనాడీ వ్యవస్థ పరస్పర భౌతిక వ్యతిరేక చర్యలకు ఇవే కారణభూతాలు.,* Two types of Autonomic Nervous System 1) Sympathetic Nervous System 2) Sympathetic Paranervous System These are the causes of mutual physical opposite actions.,tides
o నాడీ కణం నాడీ వ్యవస్థ యొక్క క్రియాత్మక మరియు నిర్మాణాత్మక ప్రమాణం.,o The nerve cell is the functional and structural unit of the nervous system.,ted
ఆ ఒక నాడీకణం నుండి మరొక నాడీకణానికి ప్రచోదనం ప్రసారమయ్యే భాగాన్ని నాడీసంధి అంటారు.,The part where the impulse is transmitted from one neuron to another is called synapse.,tides
హార్మోన్లు ఒక భాగంలో ఉత్పత్తి అయి మరొక భాగంలోకి వెళ్ళి తాము అనుకున్న లక్ష్యాన్ని సాధిస్తాయి.,Hormones are produced in one part and travel to another part to achieve their intended purpose.,tides
ఆ పునశ్చరణ యంత్రాంగం (feedback mechanim) హార్మోన్‌ల చర్యలను నియంత్రిస్తుంది.,That feedback mechanism controls the actions of hormones.,ted
"ఆ మొక్కలలో నిర్దిష్ట ఉద్దీపనాలు ఊదా కాంతి, రసాయనాల వలన ప్రతిస్పందనల వలన జరిగే చలనాలను (tropic movement) అంటారు.","In those plants, the movements caused by the responses due to specific stimuli like purple light and chemicals are called tropic movement.",tides
"ఆ మొక్కల హార్మోన్‌ల పెరుగుదలను ప్రభావితం లేదా నిరోధించే హార్మోన్లు, ఆక్సిన్‌లు, జిబ్బరెల్లిన్లు పెరుగుదలను ప్రభావితం చేసే అబ్‌సైసిక్‌ ఆమ్లం పెరుగుదలను నిరోధిస్తుంది.","Abscisic acid inhibits the growth of those plant hormones that affect or inhibit the growth of hormones, auxins, gibberellins that affect the growth.",tides
అభ్యసనాన్ని మెరుగుపరచుకుందాం,Let's improve learning,indic2012
1. ఈ కింది ఖాళీలలో సరైన సమాచారాన్ని రాయండి. (451),1. Write the correct information in the following spaces. (451),ted
మెదడు సమాచారాన్ని,brain information,tides
విశ్లేషించి ఆజ్ఞలు,Analyze commands,indic2012
జారిచేయడం,slip,ted
2. జట్టుగా పనిచేయడం వలన మన శరీరం వివిధ విధులను నిర్వహించగలుగుతుందని మీరు అనుకుంటున్నారా?,2. Do you think our body can perform different functions by working as a team?,indic2012
అయితే ఉదాహరణతో వివరించండి. (31),But explain with example. (31),ted
3. మీ శరీరం అంత|స్రావ్య వ్యవస్థ మరియు నాడీ వ్యవస్థతో సమన్వయంగా పనిచేస్తుందనడానికి కొన్ని ఉదాహరణలివ్వండి. (AS]),3. Give some examples of how your body works in coordination with the endocrine system and the nervous system. (AS]),indic2012
4. మీరు చెత్తప్రోగు చేసే ప్రదేశం గుండా వెళ్తున్నారనుకోండి.,4. Imagine you are passing through a garbage dump.,tides
మీరు వెంటనే ముక్కు మూసుకుంటారు.,You close your nose immediately.,ted
ఈ క్రియలో జరిగే సంఘటనలను 1-5 వరకు అవి జరిగే క్రమంలో అమర్చండి. (ఉ51),Arrange the events in this verb in order 1-5. (U51),indic2012
"ఎ) ఎక్సాన్‌ చివర విద్యుత్‌ ప్రచోదనాలు, రసాయనాలను విడుదల చేస్తాయి.",A) Electrical impulses at the end of the exon release chemicals.,tides
బి) డెండైట్‌ కణాలపై చేరిన ఉద్దీపనాలు రసాయనిక చర్యలు విద్యుత్‌ ప్రచోదనాలను ఉత్పత్తి చేస్తాయి.,b) Stimuli deposited on dendite cells produce electrical impulses through chemical reactions.,ted
సి) విద్యుత్‌ ప్రచోదనాలు కణదేహం ఎక్సాన్‌ ద్వారా పంపిస్తాయి.,C) Electrical impulses are sent through the cell body by an axon.,tides
డి) రసాయనాలు సినాప్స్‌ను దాటి తరవాత న్యూరాన్‌కు చేరతాయి.,D) Chemicals cross the synapse and then reach the neuron.,tides
అదే విధంగా అనేక విద్యుత్‌ ప్రచోదనాలు అనేక న్యూరాన్లను దాటుతాయి.,Similarly many electrical impulses pass through many neurons.,tides
ఇ) చివరగా న్యూరాన్‌ నుండి విడుదలైన ప్రచోదనం (గ్రంధి వైపు చేరడం వలన చెడు వాసనను గుర్తించడానికి మరియు కండర కణాలు ముక్కును మూసుకోవడానికి ఉపయోగపడతాయి.,e) Finally the impulse released from the neuron (arriving towards the gland) is used to detect the bad smell and the muscle cells to close the nose.,ted
5. సినాప్స్‌ అంటే ఏమిటి?,5. What is a synapse?,tides
సమాచార ప్రసారంలో ఇది ఏవిధంగా ఉపయోగపడుతుంది. (451),How is it useful in communication? (451),indic2012
6. కింది వాటి మధ్యగల తేడాలను రాయండి. (AST),6. Write the differences between the following. (AST),tides
అ) ఉద్దీపన మరియు ప్రతిస్పందన,a) Stimulus and response,tides
ఆ) అపవాహక మరియు అభివాహక నాడులు,a) Efferent and efferent nerves,tides
ఇ) కేంద్రీయ నాడీ వ్యవస్థ మరియు పరిధీయ నాడీ వ్యవస్థ,e) Central Nervous System and Peripheral Nervous System,tides
ఈ) [seo మరియు ప్రభావకం,e) [seo and influencer,tides
(120) 10వ తరగతి నియంత్రణ - సమన్వయ వ్యవస్థ,(120) Class 10 Control - Coordination System,indic2012
మొనతేలిన వస్తువుపై,On a pointed object,ted
తాలు పెట్టడం,Locking,ted
